Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);Time to calculate distance (ms);Time to get metrics (ms);
Screens.ecore;6;2;13;8;16;1;1;7.8;1.6923077;9.692307;0.5555556;14.0;10680;441;5474;
diagramrt.ecore;;;;;;;;;;;;;6439;393;5946;
taskmodel.ecore;45;0;26;45;39;3;2;23.0;2.3461537;16.346153;0.7031802;110.0;16504;4565;6433;
mulemodel.ecore;25;0;24;25;19;1;3;14.4;1.5416666;9.541667;0.41333333;62.0;8115;1364;6425;
primer.ecore;;;;;;;;;;;;;-1;0;0;
opm.ecore;0;8;22;8;15;5;0;10.0;3.6363637;25.636364;0.87222224;19.0;11865;626;6512;
pannotation.ecore;10;0;38;10;90;1;1;28.0;1.9736842;2.9736843;0.270073;24.0;24684;14481;6185;
FacesConfig.ecore;293;0;123;293;183;1;2;120.4;1.1219512;12.121951;0.08637236;370.0;1017522;997938;12927;
Leveleditor.ecore;36;0;22;36;116;2;4;36.0;1.5454545;21.545454;0.3821138;79.0;38556;26866;5933;
complet.ecore;8;8;13;16;19;1;4;10.6;1.2307693;27.23077;0.20454545;42.0;11600;618;5819;
aggregator_0.9.0.ecore;;;;;;;;;;;;;57157;43324;7011;
org.eclipse.wst.ws.internal.model.v10.taxonomy.ecore;8;0;4;8;10;0;1;4.6;1.0;1.0;0.0;10.0;12599;272;5918;
car.ecore;2;0;10;2;0;1;1;2.8;1.7;1.7;0.0;1.5;13245;179;5987;
Flow.ecore;;;;;;;;;;;;;-1;0;0;
directory.ecore;17;0;14;17;33;2;2;13.6;1.3571428;6.357143;0.2647059;39.0;7726;1083;6211;
FoundationModel.ecore;40;0;36;40;78;2;6;32.4;1.25;28.25;0.27160493;84.0;31598;13029;6463;
RandL.ecore;28;28;15;56;37;1;3;22.4;1.1333333;98.13333;0.114285715;136.0;19419;5038;7495;
IMS_Data_CLI.ecore;;;;;;;;;;;;;12684;218;6483;
spreadsheet.ecore;;;;;;;;;;;;;-1;0;0;
order.ecore;0;0;2;0;2;0;0;0.8;1.0;1.0;0.0;NaN;13694;151;6385;
crosswalk.ecore;11;10;35;21;62;4;3;25.0;2.3428571;31.342857;0.36641222;43.0;17962;5963;6779;
COOPNMetaModel.ecore;74;176;96;250;60;2;3;82.2;1.1979166;501.1979;0.1598916;226.0;581192;325649;9447;
modified_spreadsheet.ecore;;;;;;;;;;;;;-1;0;0;
parallelj.ecore;15;2;18;17;8;3;2;9.6;2.6666667;15.666667;0.72527474;36.0;13771;468;6734;
xwt09_updating.ecore;;;;;;;;;;;;;3822096;3617079;15364;
rentalSample.ecore;5;8;8;13;20;1;2;8.8;1.25;24.25;0.19512194;22.0;15683;605;8810;
eclectic.frontend.ecore;166;4;165;170;69;6;4;82.8;3.0969696;45.09697;0.6712517;348.0;217065;202574;10037;
PF31.ecore;20;0;10;20;96;0;2;25.6;1.0;21.0;0.0;14.333333;32759;13162;7550;
mongodb.ecore;;;;;;;;;;;;;-1;0;0;
mediator.ecore;89;0;79;89;150;2;3;64.6;2.0253165;8.025316;0.14946619;198.0;425160;187472;9305;
lims.ecore;3;12;7;15;7;0;1;6.0;1.0;34.0;0.0;28.0;45644;382;8064;
sculptormetamodel.ecore;27;22;32;49;80;4;2;33.4;2.90625;80.90625;0.7088036;115.0;61362;13824;8261;
org.eclipse.wst.ws.internal.model.v10.registry.ecore;7;0;4;7;8;0;1;4.0;1.0;1.0;0.0;4.0;45960;270;7865;
com.ibm.commerce.payment.datatypes.ecore;117;0;41;117;28;1;2;37.8;1.4390244;1.4390244;0.0;155.0;69522;0;9043;
chess.ecore;0;6;3;6;6;0;0;3.0;1.0;17.0;0.0;0.6031746;54464;210;7670;
sequence_diagram.ecore;;;;;;;;;;;;;58282;471;7890;
BusinessDomainDsl.ecore;3;16;21;19;33;3;1;15.4;2.6666667;47.666668;0.6708861;43.0;61008;1409;8231;
OperA.ecore;104;0;62;104;32;4;6;41.6;2.1290324;79.129036;0.23163842;74.666664;77604;23236;8883;
XBNF.ecore;9;6;24;15;12;3;4;11.6;2.125;23.125;0.7157895;22.0;74943;640;8309;
PIM.ecore;;;;;;;;;;;;;-1;0;0;
rom.ecore;5;10;5;15;28;1;1;10.0;1.2;25.2;0.18867925;43.0;98505;4888;9119;
OPF31.ecore;18;0;18;18;89;1;1;25.4;1.1666666;19.166666;0.0;Infinity;97969;28496;8817;
Synthesis.ecore;;;;;;;;;;;;;-1;0;0;
frontend.core.ecore;49;2;60;51;31;6;3;30.2;2.8666666;18.866667;0.5920398;98.0;71618;7677;8778;
carnot.ecore;92;114;91;206;133;7;3;88.0;4.252747;354.25275;0.6898445;487.0;180397;0;14376;
org.eclipse.wst.ws.internal.model.v10.rtindex.ecore;7;0;4;7;5;0;1;3.4;1.0;1.0;0.0;4.5;66370;520;8572;
metaCompo.ecore;;;;;;;;;;;;;-1;0;0;
org.eclipse.component.ecore;11;0;7;11;14;0;2;6.8;1.0;1.0;0.0;6.0;73142;420;8456;
frontend.mappings.ecore;35;2;46;37;23;4;2;22.4;2.3695652;14.369565;0.11764706;81.0;12937;3591;8832;
XMA_GUIDesigner.ecore;;;;;;;;;;;;;401717;332047;10785;
bpmn20_ttc.ecore;;;;;;;;;;;;;1373163;1304361;15089;
iolist.ecore;22;2;23;24;86;2;2;27.4;1.5652174;8.565218;0.6820809;57.0;60346;10383;9710;
toolpalette.ecore;2;0;2;2;9;0;1;2.8;1.0;1.0;0.0;1.0;71259;254;10300;
pom.ecore;45;0;39;45;137;1;4;45.2;1.0256411;14.025641;0.026737968;96.0;680864;38683;10231;
m2mproject.ecore;7;20;17;27;21;2;2;13.8;1.9411764;58.941177;0.5714286;56.0;66605;1127;9840;
EXPRESSb.ecore;;;;;;;;;;;;;-1;0;0;
search.ecore;4;0;6;4;18;1;2;6.2;1.1666666;2.1666665;0.3125;2.0;10893;372;10063;
gcomponent.ecore;33;0;39;33;16;4;2;18.8;2.102564;11.102564;0.4431818;66.0;69982;2257;10073;
componentCore.ecore;7;0;6;7;18;0;2;6.6;1.0;6.0;0.0;16.0;119859;369;9472;
OWL.ecore;;;;;;;;;;;;;-1;0;0;
doctrine.ecore;36;6;58;42;41;3;4;29.6;1.9482758;26.948277;0.24545455;92.0;20373;8589;10467;
mind.ecore;19;22;45;41;38;5;4;26.6;2.511111;59.511112;0.70411986;91.0;17549;5953;10684;
glucose.ecore;5;2;6;7;35;1;2;10.2;1.5;9.5;0.36363637;15.0;91159;1007;9921;
ptnetLoLA.ecore;9;4;15;13;15;2;1;9.2;1.8666667;14.866667;0.5555556;27.0;78474;492;10481;
SVG.ecore;2;0;85;2;400;10;1;99.6;5.0588236;5.0588236;0.89525795;4.0;2311942;1478953;10806;
banner.ecore;1;0;3;1;6;1;1;2.4;1.3333334;1.3333334;0.125;0.5;71896;204;10384;
fxg.ecore;37;0;52;37;269;4;3;73.0;2.5576923;3.5576923;0.19685039;82.0;533768;421059;10160;
com.ibm.commerce.member.datatypes.ecore;29;0;9;29;33;1;2;14.8;1.2222222;1.2222222;0.0;45.0;91119;0;10065;
activityDiagram.ecore;;;;;;;;;;;;;10469;414;9956;
ATL.ecore;;;;;;;;;;;;;61853;50674;10915;
modellog.ecore;13;0;28;13;27;3;2;14.6;2.7857144;2.7857144;0.5652174;31.0;69488;1122;10153;
swml.ecore;9;0;11;9;11;2;2;7.0;1.5454545;4.5454545;0.375;16.0;97640;308;10336;
com.ibm.commerce.foundation.datatypes.ecore;57;0;32;57;56;1;3;29.8;1.0625;1.0625;0.05042017;19.0;97395;10847;10968;
interfaces.ecore;;;;;;;;;;;;;-1;0;0;
